ound 2943 errors in 212 files.

Errors  Files
     2  client/src/components/ui/table.tsx:1
     2  client/src/components/ui/tabs.tsx:1
     2  client/src/components/ui/textarea.tsx:1
     2  client/src/components/ui/toast.tsx:1
     5  client/src/components/ui/toaster.tsx:13
     2  client/src/components/ui/toggle-group.tsx:1
     2  client/src/components/ui/toggle.tsx:1
     2  client/src/components/ui/tooltip.tsx:1
     2  client/src/components/user-profile.tsx:67
     1  client/src/contexts/ThemeContext.tsx:43
     3  client/src/hooks/use-mobile.tsx:1
     5  client/src/hooks/use-toast.ts:29
     1  client/src/hooks/use-user.tsx:87
     8  client/src/hooks/useAuth.ts:28
     2  client/src/hooks/usePermissionGuard.ts:8
     1  client/src/hooks/usePermissionsSync.ts:57
     1  client/src/hooks/useReservations.ts:51
     1  client/src/hooks/useUser.ts:53
     7  client/src/hooks/useUsers.ts:67
     2  client/src/lib/image-mapping.ts:93
     2  client/src/pages/AdminFinal.tsx:80
     8  client/src/pages/Reservations.tsx:17
     1  client/src/pages/login-simple.tsx:17
     2  client/src/pages/register.tsx:21
    18  client/src/pages/reservation-with-cart.tsx:65
     1  client/src/types/admin.ts:128
     2  node_modules/@replit/vite-plugin-cartographer/dist/index.d.mts:85
     1  node_modules/drizzle-orm/mysql-core/db.d.ts:1
     1  node_modules/drizzle-orm/mysql-core/query-builders/delete.d.ts:36
     7  node_modules/drizzle-orm/mysql-core/query-builders/select.d.ts:249
     1  node_modules/drizzle-orm/mysql-core/query-builders/select.types.d.ts:136
     1  node_modules/drizzle-orm/pg-core/query-builders/query.d.ts:23
     1  node_modules/drizzle-orm/pg-core/roles.d.ts:7
     2  node_modules/drizzle-orm/singlestore-core/columns/bigint.d.ts:13
     1  node_modules/drizzle-orm/singlestore-core/columns/binary.d.ts:14
     1  node_modules/drizzle-orm/singlestore-core/columns/boolean.d.ts:14
     1  node_modules/drizzle-orm/singlestore-core/columns/char.d.ts:16
     1  node_modules/drizzle-orm/singlestore-core/columns/custom.d.ts:24
     2  node_modules/drizzle-orm/singlestore-core/columns/date.d.ts:16
     2  node_modules/drizzle-orm/singlestore-core/columns/datetime.d.ts:16
     1  node_modules/drizzle-orm/singlestore-core/columns/decimal.d.ts:14
     1  node_modules/drizzle-orm/singlestore-core/columns/double.d.ts:14
     1  node_modules/drizzle-orm/singlestore-core/columns/enum.d.ts:19
     1  node_modules/drizzle-orm/singlestore-core/columns/float.d.ts:14
     1  node_modules/drizzle-orm/singlestore-core/columns/int.d.ts:14
     1  node_modules/drizzle-orm/singlestore-core/columns/json.d.ts:14
     1  node_modules/drizzle-orm/singlestore-core/columns/mediumint.d.ts:15
     1  node_modules/drizzle-orm/singlestore-core/columns/real.d.ts:14
     1  node_modules/drizzle-orm/singlestore-core/columns/serial.d.ts:14
     1  node_modules/drizzle-orm/singlestore-core/columns/smallint.d.ts:15
     1  node_modules/drizzle-orm/singlestore-core/columns/text.d.ts:16
     1  node_modules/drizzle-orm/singlestore-core/columns/time.d.ts:14
     2  node_modules/drizzle-orm/singlestore-core/columns/timestamp.d.ts:15
     1  node_modules/drizzle-orm/singlestore-core/columns/tinyint.d.ts:15
     1  node_modules/drizzle-orm/singlestore-core/columns/varbinary.d.ts:14
     1  node_modules/drizzle-orm/singlestore-core/columns/varchar.d.ts:16
     1  node_modules/drizzle-orm/singlestore-core/columns/vector.d.ts:13
     1  node_modules/drizzle-orm/singlestore-core/columns/year.d.ts:14
     1  node_modules/drizzle-orm/singlestore-core/db.d.ts:1
     1  node_modules/drizzle-orm/singlestore-core/query-builders/delete.d.ts:36
     6  node_modules/drizzle-orm/singlestore-core/query-builders/select.d.ts:199
     1  node_modules/drizzle-orm/singlestore-core/query-builders/select.types.d.ts:130
     2  node_modules/drizzle-orm/singlestore/driver.d.ts:1
     1  node_modules/drizzle-orm/singlestore/session.d.ts:1
     1  node_modules/drizzle-orm/sqlite-core/query-builders/query.d.ts:25
     5  node_modules/drizzle-orm/sqlite-core/query-builders/select.d.ts:202
     1  node_modules/drizzle-orm/sqlite-core/query-builders/select.types.d.ts:122
     1  node_modules/recharts/types/chart/generateCategoricalChart.d.ts:2
     1  scripts/analyze-business-logic-any.ts:74
     6  scripts/check-menu-content.ts:13
     5  scripts/fix-typescript-errors.ts:48
     6  scripts/init-database.ts:19
     4  scripts/migrate-images.ts:6
     4  scripts/populate-database.ts:55
    10  scripts/populate-rich-menu.ts:117
     7  scripts/professional-fix-all.ts:42
    36  scripts/seed.ts:4
     7  scripts/update-menu-descriptions.ts:31
    12  server/ImageManager.ts:23
     5  server/config/production.ts:5
     8  server/db.ts:10
     2  server/middleware/api-validator.ts:49
     4  server/middleware/auth-clean.ts:5
     1  server/middleware/cache-advanced.ts:286
     2  server/middleware/database-middleware.ts:8
     2  server/middleware/error-handler.ts:7
     1  server/middleware/logger.ts:119
    11  server/middleware/metrics.ts:13
     3  server/middleware/validation.ts:6
     2  server/modules/ai-automation.ts:81
     2  server/routes/advanced-features.ts:4
     2  server/routes/ai.routes.ts:343
     1  server/routes/analytics.routes.ts:211
     3  server/routes/analytics.ts:136
    10  server/routes/database.routes.ts:15
     8  server/routes/delivery.ts:121
     1  server/routes/feedback.routes.ts:87
     2  server/routes/image-routes.ts:45
    28  server/routes/index.ts:56
     1  server/routes/inventory-management.ts:358
     1  server/routes/kpis.routes.ts:120
    40  server/routes/loyalty-advanced.ts:70
     8  server/routes/online-orders.ts:137
     3  server/routes/permissions.routes.ts:142
    38  server/routes/permissions.ts:132
     5  server/routes/tables.ts:134
     4  server/services/ai-automation.service.ts:211
     1  server/types/express.d.ts:15
     1  server/utils/security.ts:50
     1  server/vite.ts:96
     1  server/websocket.ts:18
~/workspace$ 
